,Date,counts,speed
0,2020-01-01,384.0,0.7776
1,2020-01-02,382.0,0.7645
2,2020-01-03,389.0,0.7646
3,2020-01-04,385.0,0.7737
4,2020-01-05,384.0,0.773
5,2020-01-06,391.0,0.7699
6,2020-01-07,386.0,0.7696
7,2020-01-08,389.0,0.7709
8,2020-01-09,389.0,0.7736
9,2020-01-10,389.0,0.7746
10,2020-01-11,393.0,0.7753
11,2020-01-12,393.0,0.7733
12,2020-01-13,388.0,0.7716
13,2020-01-14,391.0,0.7747
14,2020-01-15,393.0,0.7747
15,2020-01-16,388.0,0.7715
16,2020-01-17,389.0,0.7748
17,2020-01-18,393.0,0.7787
18,2020-01-19,391.0,0.7778
19,2020-01-20,394.0,0.7764
20,2020-01-21,391.0,0.7756
21,2020-01-22,392.0,0.7749
22,2020-01-23,395.0,0.7737
23,2020-01-24,390.0,0.7777
24,2020-01-25,393.0,0.7769
25,2020-01-26,396.0,0.7744
26,2020-01-27,390.0,0.777
27,2020-01-28,392.0,0.7797
28,2020-01-29,397.0,0.7768
29,2020-01-30,393.0,0.7771
30,2020-01-31,391.0,0.781
31,2020-02-01,399.0,0.7782
32,2020-02-02,397.0,0.7796
33,2020-02-03,,
34,2020-02-04,,
35,2020-02-05,396.0,0.7796
36,2020-02-06,396.0,0.7804
37,2020-02-07,400.0,0.7777
38,2020-02-08,399.0,0.7782
39,2020-02-09,399.0,0.7779
40,2020-02-10,402.0,0.7787
41,2020-02-11,403.0,0.7766
42,2020-02-12,398.0,0.7779
43,2020-02-13,403.0,0.7818
44,2020-02-14,405.0,0.7803
45,2020-02-15,399.0,0.7762
46,2020-02-16,407.0,0.7809
47,2020-02-17,401.0,0.7839
48,2020-02-18,405.0,0.7794
49,2020-02-19,405.0,0.7811
50,2020-02-20,402.0,0.7846
51,2020-02-21,407.0,0.784
52,2020-02-22,403.0,0.7828
53,2020-02-23,402.0,0.7857
54,2020-02-24,405.0,0.7834
55,2020-02-25,401.0,0.7853
56,2020-02-26,402.0,0.7861
57,2020-02-27,402.0,0.7844
58,2020-02-28,401.0,0.7865
59,2020-02-29,399.0,0.7868
60,2020-03-01,405.0,0.7832
61,2020-03-02,400.0,0.7854
62,2020-03-03,401.0,0.787
63,2020-03-04,404.0,0.7878
64,2020-03-05,403.0,0.7844
65,2020-03-06,400.0,0.7872
66,2020-03-07,406.0,0.7875
67,2020-03-08,401.0,0.7854
68,2020-03-09,404.0,0.784
69,2020-03-10,402.0,0.785
70,2020-03-11,403.0,0.7836
71,2020-03-12,406.0,0.7855
72,2020-03-13,401.0,0.7837
73,2020-03-14,406.0,0.7861
74,2020-03-15,405.0,0.7854
75,2020-03-16,404.0,0.785
76,2020-03-17,404.0,0.7866
77,2020-03-18,405.0,0.7882
78,2020-03-19,404.0,0.7874
79,2020-03-20,405.0,0.7896
80,2020-03-21,408.0,0.7913
81,2020-03-22,407.0,0.7881
82,2020-03-23,407.0,0.7892
83,2020-03-24,406.0,0.792
84,2020-03-25,405.0,0.7891
85,2020-03-26,408.0,0.7903
86,2020-03-27,404.0,0.7928
87,2020-03-28,409.0,0.791
88,2020-03-29,405.0,0.791
89,2020-03-30,403.0,0.7953
90,2020-03-31,408.0,0.7966
91,2020-04-01,403.0,0.7921
92,2020-04-02,403.0,0.792
93,2020-04-03,409.0,0.7942
94,2020-04-04,402.0,0.7954
95,2020-04-05,407.0,0.7914
96,2020-04-06,405.0,0.7922
97,2020-04-07,401.0,0.7947
98,2020-04-08,,
99,2020-04-09,,
100,2020-04-10,400.0,0.7943
101,2020-04-11,406.0,0.7949
102,2020-04-12,403.0,0.7956
103,2020-04-13,401.0,0.7929
104,2020-04-14,406.0,0.7965
105,2020-04-15,402.0,0.7969
106,2020-04-16,401.0,0.7972
107,2020-04-17,402.0,0.7958
108,2020-04-18,402.0,0.7992
109,2020-04-19,404.0,0.7998
110,2020-04-20,,
111,2020-04-21,,
112,2020-04-22,,
113,2020-04-23,404.0,0.8
114,2020-04-24,401.0,0.7995
115,2020-04-25,401.0,0.7977
116,2020-04-26,406.0,0.7968
117,2020-04-27,401.0,0.7984
118,2020-04-28,401.0,0.7964
119,2020-04-29,408.0,0.7971
120,2020-04-30,399.0,0.7992
121,2020-05-01,400.0,0.8009
122,2020-05-02,404.0,0.7978
123,2020-05-03,403.0,0.7978
124,2020-05-04,405.0,0.803
125,2020-05-05,405.0,0.8019
126,2020-05-06,401.0,0.7997
127,2020-05-07,403.0,0.7994
128,2020-05-08,406.0,0.8031
129,2020-05-09,401.0,0.8048
130,2020-05-10,401.0,0.7995
131,2020-05-11,402.0,0.8004
132,2020-05-12,405.0,0.8048
133,2020-05-13,404.0,0.8004
134,2020-05-14,401.0,0.7991
135,2020-05-15,,
136,2020-05-16,,
137,2020-05-17,402.0,0.8008
138,2020-05-18,403.0,0.7998
139,2020-05-19,402.0,0.8061
140,2020-05-20,406.0,0.8073
141,2020-05-21,403.0,0.8004
142,2020-05-22,405.0,0.8003
143,2020-05-23,404.0,0.8032
144,2020-05-24,,
145,2020-05-25,406.0,0.8001
146,2020-05-26,405.0,0.7994
147,2020-05-27,408.0,0.8038
148,2020-05-28,407.0,0.8005
149,2020-05-29,404.0,0.7987
150,2020-05-30,406.0,0.8037
151,2020-05-31,409.0,0.801
152,2020-06-01,407.0,0.8016
153,2020-06-02,407.0,0.8042
154,2020-06-03,411.0,0.8037
155,2020-06-04,411.0,0.8021
156,2020-06-05,411.0,0.8021
157,2020-06-06,412.0,0.8042
158,2020-06-07,411.0,0.8014
159,2020-06-08,414.0,0.804
160,2020-06-09,,
161,2020-06-10,409.0,0.8063
162,2020-06-11,413.0,0.8068
163,2020-06-12,413.0,0.8093
164,2020-06-13,412.0,0.8079
165,2020-06-14,412.0,0.8047
166,2020-06-15,,
167,2020-06-16,,
168,2020-06-17,413.0,0.805
169,2020-06-18,412.0,0.8054
170,2020-06-19,416.0,0.8067
171,2020-06-20,417.0,0.8039
172,2020-06-21,415.0,0.8051
173,2020-06-22,416.0,0.8086
174,2020-06-23,414.0,0.8074
175,2020-06-24,414.0,0.8064
176,2020-06-25,417.0,0.8076
177,2020-06-26,414.0,0.8108
178,2020-06-27,417.0,0.8087
179,2020-06-28,416.0,0.8053
180,2020-06-29,416.0,0.8081
181,2020-06-30,414.0,0.8104
182,2020-07-01,,
183,2020-07-02,417.0,0.8108
184,2020-07-03,414.0,0.8106
185,2020-07-04,419.0,0.8115
186,2020-07-05,,
187,2020-07-06,,
188,2020-07-07,,
189,2020-07-08,421.0,0.8123
190,2020-07-09,420.0,0.8147
191,2020-07-10,419.0,0.8159
192,2020-07-11,421.0,0.8127
193,2020-07-12,422.0,0.8121
194,2020-07-13,419.0,0.8156
195,2020-07-14,423.0,0.8176
196,2020-07-15,423.0,0.8174
197,2020-07-16,418.0,0.8191
198,2020-07-17,420.0,0.8196
199,2020-07-18,422.0,0.8192
200,2020-07-19,421.0,0.82
201,2020-07-20,,
202,2020-07-21,,
203,2020-07-22,419.0,0.8225
204,2020-07-23,425.0,0.8196
205,2020-07-24,421.0,0.8198
206,2020-07-25,423.0,0.8198
207,2020-07-26,425.0,0.8197
208,2020-07-27,423.0,0.8187
209,2020-07-28,426.0,0.8212
210,2020-07-29,426.0,0.8199
211,2020-07-30,427.0,0.8177
212,2020-07-31,429.0,0.8205
213,2020-08-01,425.0,0.8209
214,2020-08-02,430.0,0.8168
215,2020-08-03,431.0,0.8172
216,2020-08-04,429.0,0.8209
217,2020-08-05,433.0,0.8211
218,2020-08-06,430.0,0.8184
219,2020-08-07,,
220,2020-08-08,,
221,2020-08-09,434.0,0.8203
222,2020-08-10,432.0,0.8185
223,2020-08-11,432.0,0.8188
224,2020-08-12,434.0,0.8199
225,2020-08-13,431.0,0.8182
226,2020-08-14,430.0,0.8171
227,2020-08-15,436.0,0.8207
228,2020-08-16,431.0,0.819
229,2020-08-17,432.0,0.8152
230,2020-08-18,435.0,0.8199
231,2020-08-19,435.0,0.8197
232,2020-08-20,437.0,0.8185
233,2020-08-21,437.0,0.8211
234,2020-08-22,433.0,0.8229
235,2020-08-23,440.0,0.8184
236,2020-08-24,438.0,0.8199
237,2020-08-25,437.0,0.8204
238,2020-08-26,437.0,0.8202
239,2020-08-27,439.0,0.8199
240,2020-08-28,438.0,0.8222
241,2020-08-29,439.0,0.8195
242,2020-08-30,438.0,0.817
243,2020-08-31,441.0,0.8199
244,2020-09-01,441.0,0.8205
245,2020-09-02,,
246,2020-09-03,,
247,2020-09-04,444.0,0.8232
248,2020-09-05,441.0,0.8179
249,2020-09-06,444.0,0.8208
250,2020-09-07,443.0,0.8254
251,2020-09-08,442.0,0.8195
252,2020-09-09,446.0,0.8186
253,2020-09-10,445.0,0.8221
254,2020-09-11,442.0,0.8223
255,2020-09-12,447.0,0.8178
256,2020-09-13,448.0,0.8205
257,2020-09-14,442.0,0.8256
258,2020-09-15,450.0,0.8217
259,2020-09-16,446.0,0.8197
260,2020-09-17,446.0,0.8232
261,2020-09-18,450.0,0.8212
262,2020-09-19,450.0,0.8205
263,2020-09-20,447.0,0.8202
264,2020-09-21,448.0,0.8198
265,2020-09-22,449.0,0.8212
266,2020-09-23,451.0,0.8219
267,2020-09-24,451.0,0.8206
268,2020-09-25,452.0,0.8216
269,2020-09-26,453.0,0.8231
270,2020-09-27,453.0,0.8218
271,2020-09-28,452.0,0.8233
272,2020-09-29,452.0,0.8266
273,2020-09-30,456.0,0.8232
274,2020-10-01,450.0,0.8242
275,2020-10-02,455.0,0.8242
276,2020-10-03,456.0,0.8215
277,2020-10-04,453.0,0.8246
278,2020-10-05,453.0,0.8242
279,2020-10-06,458.0,0.8242
280,2020-10-07,455.0,0.8275
281,2020-10-08,456.0,0.8292
282,2020-10-09,460.0,0.8242
283,2020-10-10,455.0,0.823
284,2020-10-11,460.0,0.829
285,2020-10-12,461.0,0.8264
286,2020-10-13,459.0,0.8262
287,2020-10-14,464.0,0.8271
288,2020-10-15,458.0,0.8299
289,2020-10-16,,
290,2020-10-17,,
291,2020-10-18,459.0,0.8312
292,2020-10-19,460.0,0.8296
293,2020-10-20,460.0,0.8295
294,2020-10-21,458.0,0.8317
295,2020-10-22,458.0,0.8299
296,2020-10-23,463.0,0.8271
297,2020-10-24,461.0,0.8285
298,2020-10-25,462.0,0.8309
299,2020-10-26,465.0,0.828
300,2020-10-27,460.0,0.8295
301,2020-10-28,464.0,0.8329
302,2020-10-29,462.0,0.8285
303,2020-10-30,462.0,0.8259
304,2020-10-31,461.0,0.829
305,2020-11-01,464.0,0.8326
306,2020-11-02,461.0,0.83
307,2020-11-03,465.0,0.8315
308,2020-11-04,463.0,0.8337
309,2020-11-05,463.0,0.8338
310,2020-11-06,467.0,0.8352
311,2020-11-07,465.0,0.8366
312,2020-11-08,467.0,0.8341
313,2020-11-09,465.0,0.8371
314,2020-11-10,469.0,0.8366
315,2020-11-11,469.0,0.8337
316,2020-11-12,466.0,0.8382
317,2020-11-13,466.0,0.8374
318,2020-11-14,466.0,0.8376
319,2020-11-15,466.0,0.8401
320,2020-11-16,464.0,0.839
321,2020-11-17,469.0,0.8377
322,2020-11-18,468.0,0.838
323,2020-11-19,465.0,0.8388
324,2020-11-20,470.0,0.8413
325,2020-11-21,471.0,0.8427
326,2020-11-22,467.0,0.8414
327,2020-11-23,473.0,0.8429
328,2020-11-24,473.0,0.8462
329,2020-11-25,471.0,0.8428
330,2020-11-26,476.0,0.8428
331,2020-11-27,470.0,0.8432
332,2020-11-28,471.0,0.841
333,2020-11-29,474.0,0.8426
334,2020-11-30,471.0,0.8455
335,2020-12-01,471.0,0.8432
336,2020-12-02,,
337,2020-12-03,,
338,2020-12-04,470.0,0.8474
339,2020-12-05,476.0,0.8426
340,2020-12-06,472.0,0.8441
341,2020-12-07,474.0,0.8469
342,2020-12-08,478.0,0.8457
343,2020-12-09,474.0,0.8422
344,2020-12-10,475.0,0.8464
345,2020-12-11,480.0,0.8462
346,2020-12-12,478.0,0.8443
347,2020-12-13,479.0,0.8432
348,2020-12-14,477.0,0.846
349,2020-12-15,482.0,0.8486
350,2020-12-16,481.0,0.8476
351,2020-12-17,480.0,0.8482
352,2020-12-18,483.0,0.8487
353,2020-12-19,479.0,0.8511
354,2020-12-20,482.0,0.8488
355,2020-12-21,480.0,0.849
356,2020-12-22,478.0,0.8515
357,2020-12-23,482.0,0.8534
358,2020-12-24,478.0,0.8509
359,2020-12-25,482.0,0.8536
360,2020-12-26,478.0,0.8533
361,2020-12-27,480.0,0.8525
362,2020-12-28,484.0,0.856
363,2020-12-29,483.0,0.8562
364,2020-12-30,480.0,0.8527
365,2020-12-31,487.0,0.853
